"","MD","t","p"
"Motor",1.45833333333333,2.13716797422133,0.0396492842811941
"Vocal",4.16071428571429,4.81063273156249,5.06670537627406e-05
"Impairment",5.375,3.10678636803502,0.00351959426422687
"YGTSS",7.93181818181818,3.38558984291146,0.00152673195680311
"PUTS",-0.704545454545455,-1.06943878570796,0.290838735373165
