"","V1","V2","V3","V4","V5","V6","V7"
"range15","(2-5)","(1-5)","(1-5)","(Inf--Inf)","(Inf--Inf)","(Inf--Inf)","(1-5)"
"IQR15","1.5","2","2",NA,NA,NA,"2.5"
"---16","2016","2017","2018","2019","2020","2021","Motor_3_6_mth"
"n16","3","13","3","0","0","0","19"
"mean16","1.667","1.846","1.333","NaN","NaN","NaN","1.737"
"sd16","0.577","1.214","1.155",NA,NA,NA,"1.098"
"median16","2","2","2",NA,NA,NA,"2"
"range16","(1-2)","(0-4)","(0-2)","(Inf--Inf)","(Inf--Inf)","(Inf--Inf)","(0-4)"
"IQR16","0.5","1","1",NA,NA,NA,"1"
"---17","2016","2017","2018","2019","2020","2021","Motor_4_6_mth"
"n17","3","13","3","0","0","0","19"
"mean17","2","1.923","1.667","NaN","NaN","NaN","1.895"
"sd17","0","1.115","1.528",NA,NA,NA,"1.049"
"median17","2","2","2",NA,NA,NA,"2"
"range17","(2-2)","(0-4)","(0-3)","(Inf--Inf)","(Inf--Inf)","(Inf--Inf)","(0-4)"
"IQR17","0","0","1.5",NA,NA,NA,"0"
"---18","2016","2017","2018","2019","2020","2021","Motor_5_6_mth"
"n18","3","13","3","0","0","0","19"
"mean18","1.667","1.231","1","NaN","NaN","NaN","1.263"
"sd18","0.577","1.363","1",NA,NA,NA,"1.195"
"median18","2","1","1",NA,NA,NA,"1"
"range18","(1-2)","(0-4)","(0-2)","(Inf--Inf)","(Inf--Inf)","(Inf--Inf)","(0-4)"
"IQR18","0.5","2","1",NA,NA,NA,"2"
"---19","2016","2017","2018","2019","2020","2021","Motor_Total_6_mth"
"n19","3","13","3","0","0","0","19"
"mean19","10.333","9.692","9.333","NaN","NaN","NaN","9.737"
"sd19","2.517","5.154","6.351",NA,NA,NA,"4.794"
"median19","10","9","13",NA,NA,NA,"10"
"range19","(8-13)","(1-21)","(2-13)","(Inf--Inf)","(Inf--Inf)","(Inf--Inf)","(1-21)"
"IQR19","2.5","4","5.5",NA,NA,NA,"5"
"---20","2016","2017","2018","2019","2020","2021","Motor_1_12_mth"
"n20","2","6","2","1","0","0","11"
"mean20","2","2.167","1.5","2","NaN","NaN","2"
"sd20","0","1.472","0.707",NA,NA,NA,"1.095"
"median20","2","2","1.5","2",NA,NA,"2"
"range20","(2-2)","(1-5)","(1-2)","(2-2)","(Inf--Inf)","(Inf--Inf)","(1-5)"
"IQR20","0","0.75","0.5","0",NA,NA,"0.5"
"---21","2016","2017","2018","2019","2020","2021","Motor_2_12_mth"
"n21","2","6","2","1","0","0","11"
"mean21","4","4","4","2","NaN","NaN","3.818"
"sd21","1.414","1.265","0",NA,NA,NA,"1.168"
"median21","4","4.5","4","2",NA,NA,"4"
"range21","(3-5)","(2-5)","(4-4)","(2-2)","(Inf--Inf)","(Inf--Inf)","(2-5)"
"IQR21","1","1.75","0","0",NA,NA,"2"
"---22","2016","2017","2018","2019","2020","2021","Motor_3_12_mth"
"n22","2","6","2","1","0","0","11"
"mean22","2.5","1.833","2.5","1","NaN","NaN","2"
