"","V1","V2","V3","V4","V5","V6","V7"
"---16","2016","2017","2018","2019","2020","2021","Motor_3_6_mth"
"n16","3","10","3","0","0","0","16"
"mean16","1.667","1.6","1.333","NaN","NaN","NaN","1.562"
"sd16","0.577","1.075","1.155",NA,NA,NA,"0.964"
"median16","2","1.5","2",NA,NA,NA,"2"
"range16","1 - 2","0 - 4","0 - 2","Inf - -Inf","Inf - -Inf","Inf - -Inf","0 - 4"
"IQR16","0.5","1","1",NA,NA,NA,"1"
"---17","2016","2017","2018","2019","2020","2021","Motor_4_6_mth"
"n17","3","10","3","0","0","0","16"
"mean17","2","2.1","1.667","NaN","NaN","NaN","2"
"sd17","0","1.101","1.528",NA,NA,NA,"1.033"
"median17","2","2","2",NA,NA,NA,"2"
"range17","2 - 2","0 - 4","0 - 3","Inf - -Inf","Inf - -Inf","Inf - -Inf","0 - 4"
"IQR17","0","0.75","1.5",NA,NA,NA,"0.25"
"---18","2016","2017","2018","2019","2020","2021","Motor_5_6_mth"
"n18","3","10","3","0","0","0","16"
"mean18","1.667","1.4","1","NaN","NaN","NaN","1.375"
"sd18","0.577","1.43","1",NA,NA,NA,"1.204"
"median18","2","1","1",NA,NA,NA,"1"
"range18","1 - 2","0 - 4","0 - 2","Inf - -Inf","Inf - -Inf","Inf - -Inf","0 - 4"
"IQR18","0.5","2.25","1",NA,NA,NA,"1.25"
"---19","2016","2017","2018","2019","2020","2021","Motor_Total_6_mth"
"n19","3","10","3","0","0","0","16"
"mean19","10.333","9.8","9.333","NaN","NaN","NaN","9.812"
"sd19","2.517","5.35","6.351",NA,NA,NA,"4.847"
"median19","10","9","13",NA,NA,NA,"9.5"
"range19","8 - 13","1 - 21","2 - 13","Inf - -Inf","Inf - -Inf","Inf - -Inf","1 - 21"
"IQR19","2.5","3.75","5.5",NA,NA,NA,"5"
"---20","2016","2017","2018","2019","2020","2021","Motor_1_12_mth"
"n20","2","5","2","1","0","0","10"
"mean20","2","2.4","1.5","2","NaN","NaN","2.1"
"sd20","0","1.517","0.707",NA,NA,NA,"1.101"
"median20","2","2","1.5","2",NA,NA,"2"
"range20","2 - 2","1 - 5","1 - 2","2 - 2","Inf - -Inf","Inf - -Inf","1 - 5"
"IQR20","0","0","0.5","0",NA,NA,"0"
"---21","2016","2017","2018","2019","2020","2021","Motor_2_12_mth"
"n21","2","5","2","1","0","0","10"
"mean21","4","4.4","4","2","NaN","NaN","4"
"sd21","1.414","0.894","0",NA,NA,NA,"1.054"
"median21","4","5","4","2",NA,NA,"4"
"range21","3 - 5","3 - 5","4 - 4","2 - 2","Inf - -Inf","Inf - -Inf","2 - 5"
"IQR21","1","1","0","0",NA,NA,"1.75"
"---22","2016","2017","2018","2019","2020","2021","Motor_3_12_mth"
"n22","2","5","2","1","0","0","10"
"mean22","2.5","2","2.5","1","NaN","NaN","2.1"
"sd22","0.707","1.225","2.121",NA,NA,NA,"1.197"
"median22","2.5","2","2.5","1",NA,NA,"2"
"range22","2 - 3","1 - 4","1 - 4","1 - 1","Inf - -Inf","Inf - -Inf","1 - 4"
"IQR22","0.5","1","1.5","0",NA,NA,"1.75"
"---23","2016","2017","2018","2019","2020","2021","Motor_4_12_mth"
"n23","2","5","2","1","0","0","10"
"mean23","2.5","2.2","1.75","2","NaN","NaN","2.15"
"sd23","0.707","0.837","0.354",NA,NA,NA,"0.669"
"median23","2.5","2","1.75","2",NA,NA,"2"
"range23","2 - 3","1 - 3","1.5 - 2","2 - 2","Inf - -Inf","Inf - -Inf","1 - 3"
"IQR23","0.5","1","0.25","0",NA,NA,"0.75"
"---24","2016","2017","2018","2019","2020","2021","Motor_5_12_mth"
"n24","2","5","2","1","0","0","10"
"mean24","2","1.6","2.5","1","NaN","NaN","1.8"
"sd24","1.414","1.14","2.121",NA,NA,NA,"1.229"
"median24","2","2","2.5","1",NA,NA,"1.5"
"range24","1 - 3","0 - 3","1 - 4","1 - 1","Inf - -Inf","Inf - -Inf","0 - 4"
"IQR24","1","1","1.5","0",NA,NA,"1.75"
"---25","2016","2017","2018","2019","2020","2021","Motor_Total_12_mth"
"n25","2","5","2","1","0","0","10"
"mean25","13","12.6","12.25","8","NaN","NaN","12.15"
"sd25","1.414","4.393","3.889",NA,NA,NA,"3.559"
"median25","13","11","12.25","8",NA,NA,"11.5"
"range25","12 - 14","9 - 20","9.5 - 15","8 - 8","Inf - -Inf","Inf - -Inf","8 - 20"
"IQR25","1","3","2.75","0",NA,NA,"4.125"
